a_tstamp,b_windspeed,c_temperature,d_solarflux,e_humidity,f_ma_5_windspeed,g_ma_5_temperature,h_ma_5_solarflux,i_ma_5_humidity,j_mm_5_windspeed,k_mm_5_temperature,l_mm_5_solarflux,m_mm_5_humidity,n_sd_5_windspeed,o_sd_5_temperature,p_sd_5_solarflux,q_sd_5_humidity,r_clearingprice
965169000,8.05297,51.082,0.28156,0.93,7.144216,52.63448,0.056312,0.908126,7.35393,52.207,0,0.91625,0.8101074293,1.4450390741,0.112624,0.022275975,0.14
965169900,7.77335,51.7007,1.41423,0.91625,7.53568,51.96622,0.339158,0.917376,7.77335,51.7007,0,0.91625,0.4789324499,0.8103857141,0.5484855115,0.0115385469,0.14
965170800,7.49374,52.387,2.92423,0.9,7.69646,51.76148,0.924004,0.917938,7.77335,51.7007,0.28156,0.91625,0.2465538781,0.4826108221,1.1279651288,0.0105694076,0.14
965171700,7.21412,53.1407,4.81156,0.88125,7.668498,51.94822,1.886316,0.910938,7.77335,51.7007,1.41423,0.91625,0.2882220607,0.7340254257,1.7883295554,0.0182028672,0.14
965172600,6.9345,53.962,7.07621,0.86,7.493736,52.45448,3.301558,0.8975,7.49374,52.387,2.92423,0.9,0.3954381537,1.0197993556,2.4229269523,0.0248369684,0.14
965173500,6.1306,55.0364,9.88034,0.82969,7.109262,53.24536,5.221314,0.877438,7.21412,53.1407,4.81156,0.88125,0.5635871665,1.1709062552,3.0028501217,0.0303773003,0.14
965174400,5.67623,56.0545,12.9537,0.80125,6.689838,54.11612,7.529208,0.854438,6.9345,53.962,7.07621,0.86,0.6813424768,1.3091436459,3.5707023219,0.0354037904,0.14
965175300,5.57137,57.0164,16.2963,0.77469,6.305364,55.042,10.203622,0.829376,6.1306,55.0364,9.88034,0.82969,0.661324249,1.3931823039,4.0900661095,0.0384979748,0.12
965176200,5.81603,57.922,19.9081,0.75,6.025746,55.99826,13.22293,0.803126,5.81603,56.0545,12.9537,0.80125,0.4918186613,1.4008623795,4.5423487437,0.038922475,0.12
965177100,7.6685,58.7882,25.0992,0.72625,6.172546,56.9635,16.827528,0.776376,5.81603,57.0164,16.2963,0.77469,0.7712954881,1.3259748233,5.3190722723,0.0365301254,0.12
965178000,9.03163,59.587,29.6861,0.705,6.752752,57.87362,20.78868,0.751438,5.81603,57.922,19.9081,0.75,1.3757827219,1.2504792624,6.001474421,0.0341024394,0.12
965178900,9.90543,60.3182,33.669,0.68625,7.598592,58.72636,24.93174,0.728438,7.6685,58.7882,25.0992,0.72625,1.712725484,1.1704219916,6.3052276249,0.0314264916,0.12
965179800,10.2899,60.982,37.0478,0.67,8.542298,59.51948,29.08204,0.7075,9.03163,59.587,29.6861,0.705,1.6338756109,1.0833457553,6.0808323853,0.0283615056,0.12
965180700,8.92677,61.5614,40.4261,0.65625,9.164446,60.24736,33.18564,0.68875,9.03163,60.3182,33.669,0.68625,0.9085910411,0.9835281991,5.389090273,0.0248369684,0.12
965181600,7.91316,62.0845,42.7979,0.645,9.213378,60.90662,36.72538,0.6725,9.03163,60.982,37.0478,0.67,0.8298890186,0.8842460436,4.681190104,0.0213160737,0.12
965182500,7.24907,62.5514,44.1632,0.63625,8.856866,61.4995,39.6208,0.65875,8.92677,61.5614,40.4261,0.65625,1.1518288474,0.789408153,3.8319739691,0.0178009831,0.12
965183400,6.9345,62.962,44.522,0.63,8.26268,62.02826,41.7914,0.6475,7.91316,62.0845,42.7979,0.645,1.2218238851,0.7016162815,2.7734613356,0.0142959785,0.12
965184300,7.26305,63.0632,41.8795,0.63938,7.65731,62.4445,42.75774,0.641376,7.26305,62.5514,42.7979,0.63938,0.710146894,0.5606227181,1.5031563174,0.0088774154,0.12
965185200,7.74539,63.277,39.5604,0.6425,7.421034,62.78762,42.5846,0.638626,7.26305,62.962,42.7979,0.63938,0.3573907412,0.4233256732,1.7851579908,0.0052202973,0.12
965186100,8.38152,63.6032,37.5648,0.63938,7.514706,63.09136,41.53798,0.637502,7.26305,63.0632,41.8795,0.63938,0.5049977916,0.3480017793,2.6686990571,0.0042398415,0.12
965187000,9.17144,64.042,35.8926,0.63,7.89918,63.38948,39.88386,0.636252,7.74539,63.277,39.5604,0.63938,0.8012761854,0.393270423,3.0629313969,0.0052303208,0.12
965187900,10.7862,64.9307,33.8214,0.59563,8.66952,63.78322,37.74374,0.629378,8.38152,63.6032,37.5648,0.63938,1.2367195338,0.6619323422,2.8017228354,0.0173872441,0.12
965188800,12.1074,65.707,32.5553,0.5675,9.63839,64.31198,35.8789,0.615002,9.17144,64.042,35.8926,0.63,1.5996681953,0.8916655346,2.5169629302,0.0290071759,0.12
965189700,13.135,66.3707,32.0944,0.54563,10.716312,64.93072,34.3857,0.595628,10.7862,64.9307,33.8214,0.59563,1.7679335382,1.0225737751,2.0637964415,0.0357397713,0.1378
965190600,13.869,66.922,32.4386,0.53,11.813808,65.59448,33.36046,0.573752,12.1074,65.707,32.5553,0.5675,1.6789071189,1.0225737751,1.3946479894,0.0357397713,0.14
965191500,13.7641,67.1076,34.3002,0.53375,12.73234,66.2076,33.04198,0.554502,13.135,66.3707,32.5553,0.54563,1.157296041,0.8034977212,0.8590047506,0.0243727975,0.14
965192400,13.7292,67.3495,36.4921,0.535,13.32094,66.69136,33.57612,0.542376,13.7292,66.922,32.5553,0.535,0.6588914618,0.5884532695,1.6467392379,0.0135925165,0.14
965193300,13.7641,67.6476,39.0144,0.53375,13.65228,67.07948,34.86794,0.535626,13.7641,67.1076,34.3002,0.53375,0.2628574777,0.4297978381,2.5979827525,0.005275652,0.1357
965194200,13.869,68.002,41.867,0.53,13.79908,67.40574,36.82246,0.5325,13.7641,67.3495,36.4921,0.53375,0.058494492,0.3847277042,3.3448810595,0.0020916501,0.12
965195100,14.1486,68.767,47.9734,0.5125,13.855,67.77474,39.92942,0.529,13.7641,67.6476,39.0144,0.53375,0.1541091951,0.5793611019,4.7497448076,0.0084187291,0.12
965196000,14.4282,69.352,52.4612,0.5,13.98782,68.22362,43.56162,0.52225,13.869,68.002,41.867,0.53,0.2648916337,0.7366822229,5.8684476081,0.0137477271,0.12
965196900,14.7079,69.757,55.3305,0.4925,14.18356,68.70512,47.3293,0.51375,14.1486,68.767,47.9734,0.5125,0.3495420009,0.792648811,6.1602718635,0.0161632299,0.12
965197800,14.9875,69.982,56.5812,0.49,14.42824,69.172,50.84266,0.505,14.4282,69.352,52.4612,0.5,0.3954565392,0.7160516741,5.3756180354,0.0147478812,0.12
965198700,15.6865,69.6726,54.3008,0.50375,14.79174,69.50612,53.32942,0.49975,14.7079,69.6726,54.3008,0.5,0.5275863857,0.4212290322,2.9987573976,0.0080777472,0.12
965199600,16.1059,69.4195,51.6769,0.515,15.1832,69.63662,54.07012,0.50025,14.9875,69.6726,54.3008,0.5,0.6227230139,0.229444062,1.8035198534,0.0088881944,0.12
965200500,16.2457,69.2226,48.7094,0.52375,15.5467,69.61074,53.31976,0.505,15.6865,69.6726,54.3008,0.50375,0.6061583555,0.2646801965,2.8141397979,0.0129180107,0.12
965201400,16.1059,69.082,45.3983,0.53,15.8263,69.47574,51.33332,0.5125,16.1059,69.4195,51.6769,0.515,0.4594296812,0.3216603899,3.964180819,0.0142959785,0.12
965202300,14.8477,69.1832,40.0476,0.52625,15.79834,69.31598,48.0266,0.51975,16.1059,69.2226,48.7094,0.52375,0.510987646,0.2092802943,4.97451291,0.0094007978,0.1336
